,name,latitude,longitude,date,time,temperature,wind_speed,wind_dir,humidity,visibility
339,Dioni,38.023,23.933,2019-06-12,900,27,6,315,40,10
340,Dioni,38.023,23.933,2019-06-12,1200,28,7,45,46,10
341,Dioni,38.023,23.933,2019-06-12,1500,29,8,180,52,10
342,Dioni,38.023,23.933,2019-06-12,1800,27,10,135,60,10
343,Dioni,38.023,23.933,2019-06-12,2100,24,7,135,63,9
344,Dioni,38.023,23.933,2019-06-13,0,25,4,205,63,10
345,Dioni,38.023,23.933,2019-06-13,300,22,7,335,63,10
346,Dioni,38.023,23.933,2019-06-13,600,24,8,335,50,10
347,Dioni,38.023,23.933,2019-06-13,900,29,10,45,42,10
348,Dioni,38.023,23.933,2019-06-13,1200,30,9,155,40,10
349,Dioni,38.023,23.933,2019-06-13,1500,32,9,65,39,10
350,Dioni,38.023,23.933,2019-06-13,1800,29,7,115,51,10
351,Dioni,38.023,23.933,2019-06-13,2100,28,4,180,51,10
352,Dioni,38.023,23.933,2019-06-14,0,25,3,45,48,10
353,Dioni,38.023,23.933,2019-06-14,300,23,4,315,49,10
354,Dioni,38.023,23.933,2019-06-14,600,25,4,225,37,10
355,Dioni,38.023,23.933,2019-06-14,900,31,5,25,35,10
356,Dioni,38.023,23.933,2019-06-14,1200,32,6,45,37,10
357,Dioni,38.023,23.933,2019-06-14,1500,32,6,65,38,10
358,Dioni,38.023,23.933,2019-06-14,1800,30,8,65,48,10
359,Dioni,38.023,23.933,2019-06-14,2100,26,6,25,48,10
360,Dioni,38.023,23.933,2019-06-15,0,27,9,115,47,9
361,Dioni,38.023,23.933,2019-06-15,300,25,10,335,53,10
362,Dioni,38.023,23.933,2019-06-15,600,25,12,335,50,10
363,Dioni,38.023,23.933,2019-06-15,900,30,20,45,41,10
364,Dioni,38.023,23.933,2019-06-15,1200,30,26,115,38,10
365,Dioni,38.023,23.933,2019-06-15,1500,29,25,360,35,10
366,Dioni,38.023,23.933,2019-06-15,1800,28,21,360,46,10
367,Dioni,38.023,23.933,2019-06-15,2100,26,13,360,54,10
368,Dioni,38.023,23.933,2019-06-16,0,24,11,115,62,10
369,Dioni,38.023,23.933,2019-06-16,300,23,11,335,70,10
370,Dioni,38.023,23.933,2019-06-16,600,24,16,225,55,10
371,Dioni,38.023,23.933,2019-06-16,900,28,22,360,41,10
372,Dioni,38.023,23.933,2019-06-16,1200,29,21,25,38,10
373,Dioni,38.023,23.933,2019-06-16,1500,31,15,25,35,10
374,Dioni,38.023,23.933,2019-06-16,1800,29,8,25,42,10
375,Dioni,38.023,23.933,2019-06-16,2100,25,6,115,46,10
376,Dioni,38.023,23.933,2019-06-17,0,26,6,335,50,10
377,Dioni,38.023,23.933,2019-06-17,300,23,7,335,57,10
378,Dioni,38.023,23.933,2019-06-17,600,24,10,225,51,10
379,Dioni,38.023,23.933,2019-06-17,900,29,13,360,42,10
380,Dioni,38.023,23.933,2019-06-17,1200,30,11,180,41,10
381,Dioni,38.023,23.933,2019-06-17,1500,29,9,360,39,10
382,Dioni,38.023,23.933,2019-06-17,1800,29,11,360,45,10
383,Dioni,38.023,23.933,2019-06-17,2100,25,6,335,45,10
